customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Is_New_Customer,Total_Extra_Services,Charge_Spike_Ratio,Tenure_Group,Display_Contract,Bill_Shock
7590-VHVEG,0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,0,0,0,0,0,1,0,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
5575-GNVDE,1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,0,1,0,0,0,1,0,2,1.025,2-4 Years,1-Year,Stable Bill
3668-QPYBK,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,0,1,1,2,0.996,0-1 Year,Month-to-Month,Stable Bill
7795-CFOCW,1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,0,1,0,0,0,0,0,3,1.034,2-4 Years,1-Year,Stable Bill
9237-HQITU,0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,0,1,0,1,0,0.932,0-1 Year,Month-to-Month,Stable Bill
9305-CDSKC,0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,0,0,0,0,1,0,1,3,0.972,0-1 Year,Month-to-Month,Stable Bill
1452-KIOVK,1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,1,0,0,0,1,0,0,0,2,1.006,1-2 Years,Month-to-Month,Stable Bill
6713-OKOMC,0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,0,1,1,1,0.985,0-1 Year,Month-to-Month,Stable Bill
7892-POOKP,0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,0,0,0,0,1,0,0,4,0.963,2-4 Years,Month-to-Month,Stable Bill
6388-TABGU,1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,0,1,0,0,0,0,0,2,0.998,4+ Years,1-Year,Stable Bill
9763-GRSKD,1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,0,0,0,0,0,0,1,0,1,1.105,1-2 Years,Month-to-Month,Bill Spiked (>5%)
7469-LKBCI,1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,1,0,1,1,0,0,0,0,0.928,1-2 Years,2-Year,Stable Bill
8091-TTVAX,1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,1,0,1,0,1,0,0,0,3,1.025,4+ Years,1-Year,Stable Bill
0280-XJGEX,1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,1,0,0,0,0,0,0,0,4,1.009,4+ Years,Month-to-Month,Stable Bill
5129-JLPIS,1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,1,0,0,0,0,1,0,0,5,0.982,2-4 Years,Month-to-Month,Stable Bill
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,1,0,0,1,1,0,0,0,6,0.99,4+ Years,2-Year,Stable Bill
8191-XWSZG,0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,1,1,0,0,0,1,0,0,1.05,4+ Years,1-Year,Stable Bill
9959-WOFKT,1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,1,0,0,1,0,0,0,0,4,1.026,4+ Years,2-Year,Stable Bill
4190-MFLUW,0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0,0,0,1,0,0,1,2,1.045,0-1 Year,Month-to-Month,Stable Bill
4183-MYFRB,0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,1,0,0,0,0,1,0,0,3,1.015,1-2 Years,Month-to-Month,Stable Bill
8779-QRDMV,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,0,0,0,1,0,1,2,1.0,0-1 Year,Month-to-Month,Stable Bill
1680-VDCWW,1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,1,1,0,0,0,0,1,0,1.175,0-1 Year,1-Year,Bill Spiked (>5%)
1066-JKSGK,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,1,0,0,0,0,1,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
3638-WEABW,0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,0,0,1,1,0,0,0,2,0.991,4+ Years,2-Year,Stable Bill
6322-HRPFA,1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,0,0,0,0,1,0,0,0,3,0.983,4+ Years,Month-to-Month,Stable Bill
6865-JZNKO,0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,0,0,0,0,0,0,0,0,2,1.084,2-4 Years,Month-to-Month,Bill Spiked (>5%)
6467-CHFZW,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,1,0,0,0,0,1,0,0,3,0.983,2-4 Years,Month-to-Month,Stable Bill
8665-UTDHZ,1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,0,0,0,1,0,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,0,0,1,1,0,0,0,6,1.02,4+ Years,2-Year,Stable Bill
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,0,0,0,0,1,0,2,1.006,1-2 Years,Month-to-Month,Stable Bill
3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,1,0,0,1,1,0,0,0,4,1.011,4+ Years,2-Year,Stable Bill
4929-XIHVW,1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,1,0,0,0,1,0,0,1,3,1.051,0-1 Year,Month-to-Month,Bill Spiked (>5%)
6827-IEAUQ,0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,0,0,1,0,0,0,1,0,4,0.953,2-4 Years,1-Year,Stable Bill
7310-EGVHZ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,0,0,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
6234-RAAPL,0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,1,0,0,1,0,0,0,0,4,0.992,4+ Years,2-Year,Stable Bill
6047-YHPVI,1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,1,0,0,0,0,1,0,1,0,1.1,0-1 Year,Month-to-Month,Bill Spiked (>5%)
6572-ADKRS,0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,1,0,0,0,1,0,0,0,1,0.97,2-4 Years,Month-to-Month,Stable Bill
5380-WJKOV,1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,1,0,0,0,0,1,0,0,4,1.019,2-4 Years,Month-to-Month,Stable Bill
8168-UQWWF,0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,1,0,0,0,0,0,0,1,3,0.974,0-1 Year,Month-to-Month,Stable Bill
8865-TNMNX,1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0,0,1,0,0,0,1,1,1,1.042,0-1 Year,1-Year,Stable Bill
